date,category,sub_category,product,price,quantity,total_sales
2025-02-12,clothes,women,top,41596,12,499152
2025-04-07,clothes,men,trouser,17724,10,177240
2025-04-21,clothes,women,suits,49059,1,49059
2025-08-17,supermarket,none,cooking oil,19015,5,95075
2025-11-04,electronics,none,headphones,50993,12,611916
2025-06-06,supermarket,none,bread,48975,25,1224375
2025-09-28,clothes,men,trouser,15432,11,169752
2025-11-06,supermarket,none,rice,10623,10,106230
2025-02-02,stationary,none,page-folder,7829,1,7829
2025-12-25,supermarket,none,cooking oil,2331,40,93240
2025-07-02,stationary,none,pencil,35238,36,1268568
2025-05-08,supermarket,none,bread,18507,22,407154
2025-07-23,clothes,women,suits,2588,16,41408
2025-11-07,stationary,none,pencil,15961,2,31922
2025-01-03,supermarket,none,cooking oil,46140,33,1522620
2025-09-24,stationary,none,page-folder,10122,15,151830
2025-09-22,electronics,none,laptop,4204,21,88284
2025-12-11,clothes,men,shirt,43536,5,217680
2025-06-02,clothes,men,shirt,25279,27,682533
2025-04-28,electronics,none,smartwatch,57345,24,1376280
2025-12-24,electronics,none,headphones,46249,14,647486
2025-11-10,stationary,none,pen,9263,21,194523
2025-05-26,stationary,none,notebook,41434,10,414340
2025-02-10,supermarket,none,tea,13731,26,357006
2025-04-12,electronics,none,laptop,17512,8,140096
2025-09-05,clothes,women,suits,41811,20,836220
2025-03-12,supermarket,none,tea,16615,5,83075
2025-12-14,clothes,women,suits,9082,18,163476
2025-01-16,stationary,none,pen,25856,1,25856
2025-11-20,clothes,men,shirt,17118,10,171180
2025-09-15,electronics,none,mobile,25005,24,600120
2025-05-03,supermarket,none,cooking oil,51527,21,1082067
2025-10-19,supermarket,none,cooking oil,13500,4,54000
2025-07-10,clothes,women,suits,19955,5,99775
2025-02-08,stationary,none,pencil,4089,18,73602
2025-04-25,supermarket,none,rice,43296,4,173184
2025-04-05,supermarket,none,tea,56909,15,853635
2025-08-05,stationary,none,page-folder,14403,18,259254
2025-09-28,stationary,none,page-folder,40838,25,1020950
2025-08-08,electronics,none,laptop,9712,23,223376
2025-09-03,clothes,women,suits,46688,40,1867520
2025-02-02,stationary,none,page-folder,53443,24,1282632
2025-11-10,stationary,none,pen,48087,20,961740
2025-05-27,supermarket,none,tea,45601,4,182404
2025-07-26,stationary,none,page-folder,46577,40,1863080
2025-03-11,supermarket,none,cooking oil,31003,21,651063
2025-01-06,supermarket,none,cooking oil,148,30,4440
2025-05-31,clothes,women,suits,44958,20,899160
2025-12-28,supermarket,none,rice,31370,30,941100
2025-07-29,supermarket,none,bread,4462,40,178480
2025-10-20,clothes,women,top,2775,15,41625
2025-12-15,clothes,women,suits,6794,5,33970
2025-03-31,supermarket,none,cooking oil,22264,26,578864
2025-08-11,stationary,none,notebook,16003,22,352066
2025-05-19,stationary,none,page-folder,9528,33,314424
2025-08-03,supermarket,none,tea,19384,5,96920
2025-04-14,supermarket,none,tea,23187,35,811545
2025-03-10,electronics,none,mobile,14587,12,175044
2025-02-01,supermarket,none,bread,2427,20,48540
2025-11-20,electronics,none,laptop,40633,15,609495
2025-09-09,clothes,men,trouser,42904,28,1201312
2025-02-20,supermarket,none,rice,53547,11,589017
2025-04-18,stationary,none,notebook,12496,10,124960
2025-07-08,electronics,none,headphones,2899,24,69576
2025-11-26,clothes,men,trouser,13843,24,332232
2025-12-27,supermarket,none,cooking oil,5616,26,146016
2025-09-01,stationary,none,notebook,24027,19,456513
2025-11-20,stationary,none,notebook,52683,32,1685856
2025-11-20,stationary,none,pencil,58324,24,1399776
2025-04-11,electronics,none,mobile,42870,25,1071750
2025-11-24,supermarket,none,bread,5481,5,27405
2025-10-27,clothes,men,shirt,51082,31,1583542
2025-09-05,clothes,men,trouser,42992,9,386928
2025-11-13,stationary,none,notebook,14042,19,266798
2025-11-19,supermarket,none,rice,8933,22,196526
2025-11-14,stationary,none,pencil,10794,23,248262
2025-02-19,clothes,men,trouser,49518,22,1089396
2025-06-28,electronics,none,laptop,58937,18,1060866
2025-04-09,stationary,none,pencil,33531,5,167655
2025-04-23,clothes,women,suits,19282,17,327794
2025-02-24,stationary,none,notebook,51282,24,1230768
2025-04-06,supermarket,none,tea,7047,35,246645
2025-04-30,stationary,none,notebook,3151,38,119738
2025-09-18,supermarket,none,cooking oil,4276,25,106900
2025-12-27,supermarket,none,cooking oil,49360,30,1480800
2025-11-27,clothes,men,shirt,44797,22,985534
2025-05-02,stationary,none,notebook,523,34,17782
2025-12-06,stationary,none,pencil,21670,13,281710
2025-10-21,stationary,none,page-folder,21401,24,513624
2025-07-21,clothes,men,trouser,41401,7,289807
2025-02-18,clothes,women,top,46717,5,233585
2025-06-30,supermarket,none,cooking oil,24254,2,48508
2025-05-04,clothes,women,suits,27777,19,527763
2025-01-27,electronics,none,mobile,22816,18,410688
2025-01-31,supermarket,none,bread,38120,18,686160
2025-07-16,electronics,none,mobile,22330,23,513590
2025-11-15,supermarket,none,bread,7385,36,265860
2025-10-04,clothes,women,top,32544,6,195264
2025-06-16,supermarket,none,rice,46327,40,1853080
2025-12-16,stationary,none,pencil,11513,31,356903
2025-09-22,supermarket,none,bread,29522,17,501874
2025-04-14,supermarket,none,rice,34435,19,654265
2025-01-05,electronics,none,mobile,39690,39,1547910
2025-01-23,supermarket,none,cooking oil,53986,36,1943496
2025-09-02,supermarket,none,tea,7736,24,185664
2025-06-27,supermarket,none,cooking oil,31388,6,188328
2025-04-17,clothes,women,top,25077,29,727233
2025-10-16,clothes,women,top,33339,15,500085
2025-03-04,clothes,men,trouser,56380,21,1183980
2025-03-28,electronics,none,smartwatch,38089,23,876047
2025-06-03,stationary,none,pencil,42152,16,674432
2025-03-06,supermarket,none,tea,57689,19,1096091
2025-05-22,supermarket,none,cooking oil,3424,24,82176
2025-06-02,stationary,none,notebook,54840,20,1096800
2025-05-02,stationary,none,notebook,42275,27,1141425
2025-12-04,stationary,none,pen,19325,9,173925
2025-03-09,electronics,none,laptop,42068,15,631020
2025-12-20,electronics,none,headphones,9270,11,101970
2025-01-18,supermarket,none,tea,13545,16,216720
2025-02-17,clothes,men,shirt,6013,17,102221
2025-12-11,supermarket,none,bread,25820,7,180740
2025-07-16,electronics,none,mobile,22109,30,663270
2025-06-23,stationary,none,notebook,53575,11,589325
2025-03-27,stationary,none,page-folder,30364,2,60728
2025-10-06,supermarket,none,cooking oil,55297,1,55297
2025-08-13,electronics,none,mobile,18168,33,599544
2025-09-25,supermarket,none,cooking oil,7898,20,157960
2025-08-07,clothes,men,trouser,36433,27,983691
2025-06-24,electronics,none,smartwatch,38964,8,311712
2025-05-20,electronics,none,laptop,36669,5,183345
2025-07-14,electronics,none,mobile,58211,21,1222431
2025-09-12,clothes,men,trouser,44247,23,1017681
2025-09-02,electronics,none,mobile,41333,25,1033325
2025-04-02,stationary,none,pen,47232,30,1416960
2025-10-28,supermarket,none,tea,9982,26,259532
2025-03-04,electronics,none,smartwatch,46341,27,1251207
2025-12-07,supermarket,none,tea,52522,31,1628182
2025-02-12,clothes,women,suits,48692,33,1606836
2025-12-28,clothes,women,top,45499,12,545988
2025-03-11,supermarket,none,rice,794,30,23820
2025-11-24,electronics,none,mobile,45394,40,1815760
2025-11-17,clothes,men,shirt,34027,20,680540
2025-10-15,stationary,none,notebook,26081,38,991078
2025-09-23,stationary,none,page-folder,25547,5,127735
2025-06-09,clothes,men,trouser,2425,5,12125
2025-06-20,stationary,none,page-folder,28604,21,600684
2025-03-14,electronics,none,laptop,52654,12,631848
2025-01-11,electronics,none,headphones,13620,31,422220
2025-04-13,supermarket,none,cooking oil,5356,4,21424
2025-08-25,electronics,none,smartwatch,29282,9,263538
2025-11-07,supermarket,none,bread,51652,15,774780
2025-05-23,clothes,women,top,12044,2,24088
2025-08-02,electronics,none,mobile,44466,5,222330
2025-04-03,clothes,women,top,58823,14,823522
2025-01-19,supermarket,none,rice,17824,16,285184
2025-01-20,electronics,none,laptop,31225,26,811850
2025-03-06,electronics,none,smartwatch,21283,27,574641
2025-01-22,clothes,women,suits,36440,24,874560
2025-08-12,electronics,none,mobile,1618,7,11326
2025-04-27,supermarket,none,cooking oil,8890,27,240030
2025-02-09,supermarket,none,tea,25867,22,569074
2025-04-15,stationary,none,pen,58515,7,409605
2025-06-05,clothes,women,top,9217,14,129038
2025-04-06,supermarket,none,tea,55874,24,1340976
2025-07-23,clothes,men,trouser,8480,35,296800
2025-03-25,supermarket,none,bread,33476,16,535616
2025-03-07,stationary,none,pen,24875,15,373125
2025-08-06,electronics,none,laptop,9819,17,166923
2025-01-06,clothes,women,suits,28111,15,421665
2025-05-27,supermarket,none,tea,26805,40,1072200
2025-04-14,stationary,none,notebook,21492,13,279396
2025-06-13,electronics,none,laptop,5701,13,74113
2025-06-12,supermarket,none,cooking oil,34514,36,1242504
2025-03-17,clothes,women,top,31404,26,816504
2025-04-02,clothes,men,shirt,11339,11,124729
2025-03-07,stationary,none,pencil,57894,11,636834
2025-10-21,supermarket,none,cooking oil,5920,34,201280
2025-02-24,supermarket,none,rice,2198,11,24178
2025-12-12,stationary,none,pencil,59302,13,770926
2025-10-03,electronics,none,smartwatch,18680,32,597760
2025-11-15,clothes,women,top,18502,28,518056
2025-04-08,clothes,men,shirt,43344,32,1387008
2025-02-18,electronics,none,laptop,32822,35,1148770
2025-08-11,supermarket,none,rice,8607,4,34428
2025-06-02,clothes,men,trouser,7001,32,224032
2025-08-30,electronics,none,smartwatch,22625,12,271500
2025-08-31,electronics,none,smartwatch,47634,11,523974
2025-06-16,stationary,none,pencil,20966,35,733810
2025-01-20,supermarket,none,tea,26000,4,104000
2025-01-23,stationary,none,pen,57316,3,171948
2025-12-09,supermarket,none,rice,14446,27,390042
2025-06-09,electronics,none,laptop,34992,38,1329696
2025-02-25,supermarket,none,bread,10802,28,302456
2025-01-09,supermarket,none,tea,21985,31,681535
2025-02-08,supermarket,none,rice,34965,2,69930
2025-06-29,stationary,none,pen,35716,13,464308
2025-09-21,stationary,none,notebook,23477,34,798218
2025-04-01,electronics,none,mobile,52534,25,1313350
2025-08-25,clothes,women,top,6260,36,225360
2025-02-26,supermarket,none,rice,6808,12,81696
2025-10-31,electronics,none,headphones,32007,28,896196
2025-05-16,electronics,none,laptop,17056,24,409344
2025-04-18,stationary,none,pencil,41218,11,453398
2025-08-28,stationary,none,page-folder,5566,29,161414
2025-05-08,stationary,none,pencil,48119,33,1587927
2025-03-29,clothes,men,trouser,42061,20,841220
2025-12-03,clothes,men,shirt,13830,18,248940
2025-06-07,stationary,none,notebook,36491,30,1094730
2025-07-26,stationary,none,page-folder,2439,18,43902
2025-05-27,supermarket,none,cooking oil,13376,36,481536
2025-04-22,clothes,men,trouser,40436,11,444796
2025-03-06,supermarket,none,tea,5792,9,52128
2025-05-30,clothes,men,trouser,46689,36,1680804
2025-05-13,clothes,women,top,30797,38,1170286
2025-06-20,stationary,none,page-folder,35422,35,1239770
2025-11-12,stationary,none,page-folder,42495,24,1019880
2025-07-12,stationary,none,pen,47274,5,236370
2025-10-10,supermarket,none,cooking oil,23804,1,23804
2025-10-08,electronics,none,laptop,24688,15,370320
2025-02-10,supermarket,none,tea,11805,33,389565
2025-09-10,stationary,none,notebook,14248,38,541424
2025-06-08,stationary,none,pencil,59552,28,1667456
2025-06-06,clothes,men,shirt,48081,1,48081
2025-03-20,supermarket,none,bread,4787,39,186693
2025-01-11,supermarket,none,bread,21239,5,106195
2025-07-25,electronics,none,headphones,21493,1,21493
2025-04-21,electronics,none,smartwatch,16981,28,475468
2025-07-14,stationary,none,pen,15494,19,294386
2025-07-30,electronics,none,smartwatch,14825,35,518875
2025-10-12,clothes,women,top,50023,33,1650759
2025-01-21,electronics,none,laptop,23166,22,509652
2025-02-24,clothes,men,shirt,17900,4,71600
2025-04-12,clothes,men,shirt,29483,22,648626
2025-04-21,electronics,none,headphones,46330,4,185320
2025-02-26,clothes,men,shirt,35770,6,214620
2025-01-12,clothes,women,suits,5129,17,87193
2025-07-30,clothes,women,suits,12684,16,202944
2025-11-10,clothes,men,trouser,1275,39,49725
2025-10-25,stationary,none,notebook,1956,5,9780
2025-08-28,supermarket,none,rice,10921,21,229341
2025-12-19,clothes,men,trouser,3359,24,80616
2025-07-18,stationary,none,pen,41357,22,909854
2025-03-26,electronics,none,smartwatch,49134,23,1130082
2025-05-10,stationary,none,pen,10823,3,32469
2025-08-18,stationary,none,page-folder,19862,12,238344
2025-08-09,clothes,men,trouser,59802,21,1255842
2025-11-07,clothes,men,trouser,51138,16,818208
2025-09-28,electronics,none,headphones,32392,34,1101328
2025-04-07,stationary,none,notebook,53334,27,1440018
2025-03-28,supermarket,none,bread,16898,32,540736
2025-02-08,supermarket,none,tea,4124,5,20620
2025-04-03,clothes,men,shirt,52072,24,1249728
2025-04-14,electronics,none,headphones,55992,25,1399800
2025-03-03,electronics,none,smartwatch,34935,24,838440
2025-05-28,stationary,none,page-folder,58527,24,1404648
2025-04-24,stationary,none,pen,37098,4,148392
2025-08-07,clothes,women,suits,38717,24,929208
2025-07-21,clothes,women,suits,58838,39,2294682
2025-07-02,electronics,none,smartwatch,1368,37,50616
2025-05-12,clothes,women,suits,13923,12,167076
2025-06-06,supermarket,none,bread,31310,20,626200
2025-01-18,stationary,none,page-folder,41811,1,41811
2025-04-08,stationary,none,pencil,37013,26,962338
2025-02-24,stationary,none,page-folder,42861,36,1542996
2025-06-05,electronics,none,smartwatch,28664,32,917248
2025-06-27,clothes,men,shirt,19072,19,362368
2025-10-25,clothes,women,top,32366,21,679686
2025-06-04,supermarket,none,rice,34625,37,1281125
2025-11-23,clothes,men,shirt,38948,34,1324232
2025-01-19,electronics,none,laptop,15512,30,465360
2025-04-25,clothes,men,trouser,46854,7,327978
2025-06-18,supermarket,none,cooking oil,6998,28,195944
2025-07-16,electronics,none,smartwatch,6219,26,161694
2025-03-10,electronics,none,headphones,20021,9,180189
2025-07-27,supermarket,none,tea,29749,39,1160211
2025-06-16,supermarket,none,cooking oil,39212,2,78424
2025-12-12,stationary,none,pencil,36122,16,577952
2025-02-26,clothes,men,trouser,5196,26,135096
2025-02-09,stationary,none,pen,42470,26,1104220
2025-08-15,clothes,men,shirt,41012,17,697204
2025-09-28,supermarket,none,rice,36310,25,907750
2025-06-24,clothes,women,suits,6691,27,180657
2025-01-26,stationary,none,pencil,23383,10,233830
2025-05-04,supermarket,none,cooking oil,20963,28,586964
2025-04-03,stationary,none,pencil,57123,2,114246
2025-05-17,supermarket,none,bread,13638,11,150018
2025-01-04,electronics,none,smartwatch,8213,5,41065
2025-06-11,clothes,women,top,19655,22,432410
2025-03-28,stationary,none,page-folder,46587,3,139761
2025-04-18,stationary,none,notebook,51510,38,1957380
2025-07-26,stationary,none,pen,9893,31,306683
2025-07-23,electronics,none,headphones,23664,40,946560
2025-01-15,electronics,none,mobile,44936,37,1662632
2025-05-12,clothes,women,suits,7350,15,110250
2025-07-27,electronics,none,headphones,29759,3,89277
2025-11-06,clothes,men,shirt,58372,6,350232
2025-02-12,electronics,none,headphones,44437,36,1599732
2025-04-26,supermarket,none,cooking oil,25629,18,461322
2025-12-27,stationary,none,pencil,13179,38,500802
2025-06-11,electronics,none,smartwatch,32489,38,1234582
2025-05-23,electronics,none,smartwatch,34470,17,585990
2025-03-04,electronics,none,headphones,24061,33,794013
2025-10-25,electronics,none,mobile,48016,12,576192
2025-10-14,supermarket,none,rice,17380,23,399740
2025-08-10,electronics,none,laptop,27928,31,865768
2025-12-14,stationary,none,notebook,28625,22,629750
2025-12-03,electronics,none,mobile,57867,7,405069
2025-01-17,electronics,none,headphones,58818,8,470544
2025-09-11,supermarket,none,rice,21606,20,432120
2025-02-16,supermarket,none,bread,5542,4,22168
2025-09-25,supermarket,none,bread,51945,38,1973910
2025-08-21,electronics,none,headphones,59295,22,1304490
2025-03-02,clothes,men,trouser,55081,15,826215
2025-05-22,clothes,women,top,44491,35,1557185
2025-07-24,stationary,none,page-folder,27040,21,567840
2025-02-07,clothes,men,trouser,24468,19,464892
2025-08-15,electronics,none,laptop,21369,21,448749
2025-06-07,stationary,none,page-folder,57400,16,918400
2025-02-03,supermarket,none,cooking oil,31660,15,474900
2025-07-09,stationary,none,page-folder,21338,20,426760
2025-07-06,stationary,none,pen,58270,8,466160
2025-07-18,electronics,none,headphones,59445,38,2258910
2025-09-05,stationary,none,page-folder,5111,20,102220
2025-09-02,supermarket,none,rice,34132,29,989828
2025-11-01,stationary,none,page-folder,33027,11,363297
2025-02-10,electronics,none,laptop,14246,6,85476
2025-05-20,clothes,women,suits,19056,37,705072
2025-06-08,clothes,women,suits,26342,35,921970
2025-10-27,stationary,none,notebook,23694,9,213246
2025-05-19,stationary,none,pen,24827,22,546194
2025-04-11,clothes,men,shirt,35320,9,317880
2025-01-27,electronics,none,headphones,7094,35,248290
2025-07-11,stationary,none,pen,17834,31,552854
2025-05-19,clothes,women,top,45789,39,1785771
2025-01-23,stationary,none,page-folder,43992,5,219960
2025-11-23,clothes,women,suits,45863,36,1651068
2025-03-04,supermarket,none,rice,2718,14,38052
2025-02-25,electronics,none,laptop,17055,19,324045
2025-10-02,supermarket,none,cooking oil,18943,5,94715
2025-11-17,clothes,women,top,29484,4,117936
2025-07-04,electronics,none,headphones,53632,8,429056
2025-08-23,clothes,men,trouser,19557,22,430254
2025-06-24,supermarket,none,rice,10784,25,269600
2025-05-04,supermarket,none,cooking oil,39792,7,278544
2025-02-10,electronics,none,laptop,9605,17,163285
2025-01-16,stationary,none,notebook,15102,25,377550
2025-07-01,electronics,none,laptop,45603,25,1140075
2025-05-17,supermarket,none,bread,13899,11,152889
2025-07-21,clothes,men,trouser,45235,11,497585
2025-01-14,electronics,none,headphones,54874,35,1920590
2025-11-16,stationary,none,pen,53280,16,852480
2025-11-11,stationary,none,pen,788,26,20488
2025-02-18,stationary,none,page-folder,19889,14,278446
2025-10-28,supermarket,none,tea,59968,20,1199360
2025-11-06,supermarket,none,cooking oil,31267,26,812942
2025-02-08,supermarket,none,tea,44336,8,354688
2025-08-29,supermarket,none,cooking oil,42080,29,1220320
2025-07-20,electronics,none,mobile,3989,30,119670
2025-12-23,stationary,none,pen,14066,7,98462
2025-12-09,clothes,men,shirt,19659,21,412839
2025-02-27,supermarket,none,rice,21691,13,281983
2025-10-14,clothes,men,shirt,48032,34,1633088
2025-06-29,electronics,none,smartwatch,13047,2,26094
2025-12-18,electronics,none,smartwatch,45671,27,1233117
2025-10-21,electronics,none,smartwatch,54056,23,1243288
2025-11-10,stationary,none,notebook,41844,26,1087944
2025-03-06,supermarket,none,cooking oil,16751,33,552783
2025-01-20,stationary,none,notebook,29584,16,473344
2025-08-06,clothes,men,trouser,41484,3,124452
2025-09-01,electronics,none,mobile,2403,32,76896
2025-06-09,clothes,men,shirt,52566,7,367962
2025-10-12,electronics,none,mobile,5439,4,21756
2025-12-17,stationary,none,pen,21958,32,702656
2025-06-18,supermarket,none,cooking oil,33148,35,1160180
2025-09-23,clothes,women,top,12445,9,112005
2025-06-02,supermarket,none,cooking oil,50337,31,1560447
2025-07-11,stationary,none,notebook,39472,29,1144688
2025-05-11,stationary,none,page-folder,45883,9,412947
2025-10-20,clothes,men,trouser,30452,3,91356
2025-06-22,electronics,none,mobile,12551,10,125510
2025-09-17,stationary,none,pencil,9491,8,75928
2025-08-25,clothes,men,shirt,30934,4,123736
2025-07-06,clothes,women,top,54570,24,1309680
2025-07-28,clothes,women,suits,15606,23,358938
2025-05-29,supermarket,none,bread,1961,26,50986
2025-08-23,stationary,none,pen,50972,32,1631104
2025-05-03,stationary,none,pen,31993,37,1183741
2025-01-23,supermarket,none,rice,32010,4,128040
2025-05-18,stationary,none,notebook,58873,11,647603
2025-06-17,electronics,none,headphones,26295,29,762555
2025-02-08,stationary,none,pencil,3383,39,131937
2025-03-31,clothes,women,suits,35150,8,281200
2025-01-05,stationary,none,notebook,46295,1,46295
2025-04-08,stationary,none,pencil,4331,33,142923
2025-05-30,supermarket,none,bread,15852,9,142668
2025-09-25,stationary,none,pen,22107,32,707424
2025-03-18,supermarket,none,cooking oil,2948,29,85492
2025-03-21,stationary,none,page-folder,57601,35,2016035
2025-10-06,stationary,none,page-folder,50098,12,601176
2025-01-19,supermarket,none,bread,8782,1,8782
2025-12-07,electronics,none,laptop,57537,31,1783647
2025-05-24,electronics,none,mobile,14464,24,347136
2025-04-24,electronics,none,headphones,4241,10,42410
2025-09-01,supermarket,none,cooking oil,33650,34,1144100
2025-02-05,electronics,none,headphones,41445,33,1367685
2025-06-12,electronics,none,mobile,902,21,18942
2025-08-26,supermarket,none,tea,54633,29,1584357
2025-01-26,supermarket,none,bread,24964,8,199712
2025-01-26,supermarket,none,rice,5365,7,37555
2025-11-08,clothes,men,trouser,12838,34,436492
2025-02-28,clothes,men,shirt,15748,1,15748
2025-05-23,stationary,none,page-folder,32602,12,391224
2025-01-02,clothes,women,top,36076,9,324684
2025-06-08,clothes,women,suits,15574,36,560664
2025-10-06,clothes,women,top,31632,7,221424
2025-03-19,supermarket,none,bread,53716,33,1772628
2025-03-30,supermarket,none,cooking oil,39801,36,1432836
2025-03-18,clothes,men,shirt,10824,30,324720
2025-09-15,clothes,men,shirt,21128,10,211280
2025-09-06,clothes,men,trouser,27481,35,961835
2025-01-20,electronics,none,smartwatch,53869,10,538690
2025-12-02,supermarket,none,rice,3471,33,114543
2025-11-24,supermarket,none,cooking oil,8117,15,121755
2025-03-01,electronics,none,laptop,12608,22,277376
2025-06-11,supermarket,none,rice,33436,15,501540
2025-07-26,electronics,none,smartwatch,7700,27,207900
2025-04-20,supermarket,none,tea,30168,6,181008
2025-11-21,supermarket,none,bread,8194,37,303178
2025-09-22,supermarket,none,cooking oil,57684,6,346104
2025-02-07,clothes,men,trouser,15,25,375
2025-01-16,supermarket,none,tea,37534,13,487942
2025-05-18,electronics,none,smartwatch,24820,15,372300
2025-11-20,stationary,none,pen,23388,34,795192
2025-02-14,stationary,none,page-folder,15636,13,203268
2025-09-12,stationary,none,notebook,29944,24,718656
2025-04-18,supermarket,none,bread,22869,31,708939
2025-01-23,clothes,men,trouser,49588,22,1090936
2025-08-02,stationary,none,page-folder,58155,33,1919115
2025-04-17,stationary,none,page-folder,33925,33,1119525
2025-11-23,clothes,women,suits,34834,8,278672
2025-10-10,clothes,men,shirt,59477,11,654247
2025-05-15,supermarket,none,tea,16182,2,32364
2025-01-03,stationary,none,notebook,21129,5,105645
2025-07-27,clothes,women,suits,19826,28,555128
2025-01-03,supermarket,none,cooking oil,28858,33,952314
2025-12-22,stationary,none,pen,7404,1,7404
2025-10-15,stationary,none,pen,13316,19,253004
2025-01-18,electronics,none,mobile,23076,28,646128
2025-05-21,clothes,women,top,32731,36,1178316
2025-06-26,clothes,women,top,43640,39,1701960
2025-10-24,electronics,none,smartwatch,34766,10,347660
2025-06-16,stationary,none,notebook,7957,31,246667
2025-10-24,electronics,none,headphones,9101,23,209323
2025-06-21,electronics,none,laptop,13160,33,434280
2025-11-15,supermarket,none,bread,43955,6,263730
2025-08-28,stationary,none,page-folder,31433,11,345763
2025-02-02,stationary,none,pencil,42756,12,513072
2025-12-01,stationary,none,pencil,25754,16,412064
2025-11-04,stationary,none,notebook,59238,31,1836378
2025-09-21,supermarket,none,cooking oil,7361,7,51527
2025-10-15,clothes,men,trouser,27670,22,608740
2025-10-24,electronics,none,mobile,54390,5,271950
2025-05-03,supermarket,none,bread,48917,26,1271842
2025-04-25,electronics,none,laptop,31662,34,1076508
2025-11-21,supermarket,none,bread,11109,17,188853
2025-04-14,clothes,women,suits,16840,32,538880
2025-01-10,supermarket,none,bread,4557,4,18228
2025-10-22,clothes,men,shirt,36083,5,180415
2025-03-20,supermarket,none,bread,46106,9,414954
2025-10-10,electronics,none,mobile,17046,6,102276
2025-06-03,supermarket,none,cooking oil,5318,8,42544
2025-11-26,stationary,none,pen,29783,11,327613
2025-03-10,stationary,none,page-folder,55511,25,1387775
2025-04-06,stationary,none,pencil,40728,39,1588392
2025-10-20,electronics,none,headphones,45035,9,405315
2025-11-25,clothes,men,trouser,21668,20,433360
